TN Code,MC,LC,TN Raise Date,Exchange Type,Organization Name,Organization Type,Business Type,Issue Type,Earliest Start Date,Latest End Date,Internship Focus,Primary fow,Background in primary field of work,secondary fow,Background in secondary field of work,Languages,Skills,Workfield,Master Issues,Sub Issues,Link,entry_id
TN-In-CN-JT-2013-1574,China,AIESEC BJTU,03-11-2013-12:40:41 PM,Global Internship,TT | hiSoft Technology International Limited,Company,Information Technology (Computer) Software,,01-29-2013,01-29-2014,-,Marketing," International Marketing, Market Research & Evaluation","Business Administration,Information Technology"," Corporate Community Engagement, Database Management"," Chinese, Mandarin(Good), English(Native)","Windows Operating Systems,MacOS,Team Management,Project Management,Financial Management skills,Marketing / Selling skills,PC User Skills,Mac User Skills,Internet User Skills","Business Administration,Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100212510,773
TN-In-CN-SY-2013-1347,China,AIESEC SYSU,14-08-2013-08:01:23 AM,Global Internship,MT | The Canton Residence,Company,Consumer Services (Call Centers),,08-31-2013,02-28-2014,-,Business Administration, Hotel + Restaurant Management,-,-," Chinese(Basic), English(Native)","First Aid,Windows Operating Systems,Presentation skills,Internet User Skills,Language Teaching",Business Administration,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100199347,782
TN-In-CN-GD-2014-650,China,AIESEC GDUFS ,24-02-2014-09:46:27 AM,Global Internship,MT|Shenzhen Pavilion Hotel,Company,"Hospitality, Tourism & Leisure",,08-24-2014,08-24-2015,-,Human Resources, Training and Development,Marketing,-," Chinese, Cantonese(Basic), English(Native)","Presentation skills,PC User Skills,Language Teaching","Marketing,Human Resources",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100230801,827
TN-In-CN-SI-2014-1007,China,AIESEC SISU,24-02-2014-06:43:02 AM,Global Internship,MT?Acorn Greater China,Company,Business Services,,02-27-2014,02-27-2015,-,Marketing," Advertising + Public Relations, Market Research & Evaluation",-,-," Chinese, Mandarin(Excellent), English(Excellent)","Mac User Skills,Internet User Skills",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100230788,834
TN-In-CN-SI-2014-1008,China,AIESEC SISU,24-02-2014-06:48:04 AM,Global Internship,MT?Acorn Greater China,Company,Business Services,,02-27-2014,02-27-2015,-,Marketing," Advertising + Public Relations, Market Research & Evaluation",-,-," Chinese, Mandarin(Excellent), English(Excellent)","Mac User Skills,Internet User Skills",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100230789,835
TN-In-CN-CH-2014-415,China,AIESEC CHANGSHA,08-04-2014-08:06:00 PM,Global Internship,ET|Joy Children's Language School,Company,Education (6-17 Years),,06-30-2014,08-30-2014,-,Teaching & Language Education," Child (Youth) Education, Foreign Languages Education",-,-, English(Excellent),"PC User Skills,Internet User Skills,Language Teaching",Teaching & Language Education,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100243951,836
TN-In-CN-CH-2014-416,China,AIESEC CHANGSHA,08-04-2014-08:10:42 PM,Global Internship,ET|Joy Children's Language School,Company,Education (6-17 Years),,06-30-2014,08-30-2014,-,Teaching & Language Education," Child (Youth) Education, Foreign Languages Education",-,-, English(Excellent),"PC User Skills,Internet User Skills,Language Teaching",Teaching & Language Education,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100243954,837
TN-In-CN-CH-2014-417,China,AIESEC CHANGSHA,08-04-2014-08:14:18 PM,Global Internship,ET|Joy Children's Language School,Company,Education (6-17 Years),,06-30-2014,08-30-2014,-,Teaching & Language Education," Child (Youth) Education, Foreign Languages Education",-,-, English(Excellent),"PC User Skills,Internet User Skills,Language Teaching",Teaching & Language Education,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100243955,838
TN-In-CN-JT-2013-2018,China,AIESEC SJTU,12-07-2013-12:50:46 AM,Global Internship,Brandtology,Company,"Advertising, Public Relations or Marketing",,07-11-2013,07-11-2014,-,Marketing,-,-,-," Chinese, Mandarin(Good), English(Excellent)","PC User Skills,Internet User Skills",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100195806,852
TN-In-CN-JT-2014-2081,China,AIESEC SJTU,05-02-2014-09:17:28 AM,Global Internship,Brandtology,Company,"Advertising, Public Relations or Marketing",,02-05-2014,02-05-2015,-,Marketing,-,-,-," Chinese, Mandarin(Good), English(Excellent)","PC User Skills,Internet User Skills",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100227790,853
TN-In-CN-JT-2014-2101,China,AIESEC SJTU,13-02-2014-07:32:21 AM,Global Internship,Brandtology,Company,"Advertising, Public Relations or Marketing",,05-10-2014,05-10-2015,-,Marketing,-,-,-," Chinese, Mandarin(Excellent), English(Excellent)","PC User Skills,Internet User Skills",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228614,854
TN-In-CN-XM-2012-520,China,AIESEC XMU,12-11-2012-03:00:08 PM,Global Internship,MT-WeidiComic,Company,Business Services,,05-14-2013,11-29-2013,-,Marketing," International Marketing, Product Planning, Development & Control",Communication & Journalism,-," Chinese, Mandarin(None), English(Excellent)","Team Management,Marketing / Selling skills,PC User Skills,Internet User Skills","Marketing,Communication & Journalism",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100150725,890
TN-In-CN-SY-2013-1295,China,AIESEC SYSU,17-05-2013-09:17:00 AM,Global Internship,MT | GoIP Holdings Limited,Company,Information Technology (Computer) Services,,06-10-2013,12-10-2013,Entrepreneurship,Information Technology, Web Development and Management,Engineering, Telecommunications Engineering, English(Excellent),"UNIX/Linux OS,Windows Operating Systems,HTML,PC User Skills,Internet User Skills,Javascript,PHP,MySQL,Ajax,HTML 5,jQuery,Drupal","Information Technology,Engineering",Business and Development,Entrepreneurship,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100185721,900
TN-In-CN-SY-2013-1348,China,AIESEC SYSU,20-08-2013-07:24:07 AM,Global Internship,MT | GoIP Holdings Limited,Company,Information Technology (Computer) Services,,09-23-2013,09-22-2014,Entrepreneurship,Marketing," Brand & Trademark Management, International Marketing, Consumer + Buyer Behaviour, Customer Relationship Management, Retail + Sales Marketing, Market Research & Evaluation",Business Administration,-," English(Excellent), German(Native)","X-Windows,PC User Skills,Internet User Skills","Business Administration,Marketing",Business and Development,Entrepreneurship,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100199733,901
TN-In-CN-SY-2012-1108,China,AIESEC SYSU,19-12-2012-06:37:34 AM,Global Internship,MT| Missionhills Hotel (NEP),Company,"Hospitality, Tourism & Leisure",,12-31-2012,12-30-2013,Protect and showcase local traditions,Business Administration," Event Management, Hotel + Restaurant Management, Organisation Management + Planning",-,-," Chinese(Basic), English(Excellent)","First Aid,Presentation skills,PC User Skills,Internet User Skills",Business Administration,Cultural Understanding,Protect and showcase local traditions,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100157237,914
TN-In-CN-SY-2013-1409,China,AIESEC SYSU,08-11-2013-09:32:54 AM,Global Internship,MT| Missionhills Hotel (NEP),Company,"Hospitality, Tourism & Leisure",,12-31-2012,12-30-2013,Protect and showcase local traditions,Business Administration," Event Management, Hotel + Restaurant Management, Organisation Management + Planning",-,-," Chinese(Basic), English(Excellent)","First Aid,Presentation skills,PC User Skills,Internet User Skills",Business Administration,Cultural Understanding,Protect and showcase local traditions,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100213774,915
TN-In-CN-NN-2014-608,China,AIESEC UNNC,24-02-2014-09:53:52 AM,Global Internship,ET| Pengtu Education,Company,Education (6-17 Years),,02-17-2014,07-17-2014,-,Teaching & Language Education, Foreign Languages Education,-,-, English(Excellent),"Presentation skills,Language Teaching",Teaching & Language Education,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100230805,916
TN-In-CN-ZJ-2014-1126,China,AIESEC ZJU,19-04-2014-04:01:56 PM,Global Internship,MT|Landison Plaza Hotel Cixi,Company,Consumer Services (Others),,05-19-2014,11-29-2014,-,Business Administration, Hotel + Restaurant Management,"Teaching & Language Education,Marketing"," Introductory Marketing, Customer Relationship Management"," Chinese, Mandarin(Basic), English(Excellent)","Team Management,PC User Skills","Business Administration,Teaching & Language Education,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100247731,954
TN-In-CN-NK-2013-934,China,AIESEC NKU,13-01-2013-05:34:41 AM,Global Internship,MT Ebiz Interactive,Company,Information Technology (Computer) Services,,02-17-2013,02-17-2014,"Entrepreneurship,Cross-cultural dialogues",Marketing," Retail + Sales Marketing, Consumer + Buyer Behaviour, Market Research & Evaluation","Business Administration,Information Technology", Web Development and Management," Chinese, Mandarin(Basic), English(Native)","HTML,Java,PC User Skills,Mac User Skills,Internet User Skills,Microsoft Access,Oracle,Delphi,Visual Studio,Photoshop","Business Administration,Information Technology,Marketing","Business and Development,Cultural Understanding","Entrepreneurship,Cross-cultural dialogues",http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100159231,963
TN-In-CN-GD-2014-677,China,AIESEC GDUFS ,25-04-2014-06:22:10 AM,Global Internship,MT|Kande International Hotel Huizhou,Company,Consumer Services (Others),,08-24-2014,08-24-2015,-,Communication & Journalism, Public Relations,-,-, English(Excellent),"Training/ Facilitating skills,PC User Skills,Internet User Skills,Language Teaching,Client Servicing Skills",Communication & Journalism,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100249278,993
TN-In-CN-GD-2014-678,China,AIESEC GDUFS ,25-04-2014-09:50:10 AM,Global Internship,MT|Kande International Hotel Huizhou,Company,Consumer Services (Others),,08-24-2014,08-24-2015,-,Communication & Journalism," Public Relations, Introduction to Communications, Journalism",-,-, English(Excellent),"Training/ Facilitating skills,PC User Skills,Internet User Skills,Language Teaching,Client Servicing Skills",Communication & Journalism,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100249295,994
TN-In-CN-GD-2014-679,China,AIESEC GDUFS ,28-04-2014-12:56:25 PM,Global Internship,MT|Kande International Hotel Huizhou,Company,Consumer Services (Others),,08-24-2014,08-24-2015,-,Communication & Journalism," Public Relations, Introduction to Communications, Journalism",-,-, English(Excellent),"Training/ Facilitating skills,PC User Skills,Internet User Skills,Language Teaching,Client Servicing Skills",Communication & Journalism,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100250145,995
TN-In-CN-SZ-2013-75,China,AIESEC SZU,23-02-2013-03:08:18 AM,Global Internship,MT|Mission Hills Hotel,Company,"Hospitality, Tourism & Leisure",,03-29-2014,03-29-2015,Human Trafficking,Marketing,-,Business Administration, Hotel + Restaurant Management," Chinese(Basic), Chinese, Mandarin(Basic), English(Native), Japanese(Basic), Korean(Basic)","Presentation skills,PC User Skills,Internet User Skills,Client Servicing Skills","Business Administration,Marketing",Security & Resolution,Human Trafficking,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100163837,1031
TN-In-CN-SZ-2013-77,China,AIESEC SZU,23-02-2013-07:13:15 AM,Global Internship,MT | Mission Hills Hotel,Company,"Hospitality, Tourism & Leisure",,08-31-2013,12-09-2014,"Energy,Climate change,Language literacy",Communication & Journalism,-,Cultural Education,-," Chinese(Good), Chinese, Mandarin(Good), Chinese, Cantonese(Good), English(Excellent), Korean(Good)","Presentation skills,PC User Skills,Internet User Skills,Client Servicing Skills","Cultural Education,Communication & Journalism","Environment,Environment,Literacy","Energy,Climate change,Language literacy",http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100163843,1032
TN-In-CN-XM-2013-573,China,AIESEC XMU,02-04-2013-05:07:26 PM,Global Internship,MTI Fujian Meilun Resort Hotel,Company,"Hospitality, Tourism & Leisure",,04-08-2013,09-28-2013,Protect and showcase local traditions,Business Administration, Corporate Community Engagement,Accounting, Auditing, English(Excellent),"First Aid,Community Development,C,PC User Skills,Internet User Skills,DB/2,Microsoft SQL Server,Voice - IP Telephony (VoIP)","Accounting,Business Administration",Cultural Understanding,Protect and showcase local traditions,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100171920,1137
TN-In-CN-JT-2014-2093,China,AIESEC SJTU,10-02-2014-03:30:17 PM,Global Internship,CooTek,Company,Information Technology (Computer) Software,,02-09-2014,02-09-2015,-,Information Technology," Network Management & Data Transmission, Software Development and Programming, Systems Analysis and Design",-,-, English(None),Internet User Skills,Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228336,1146
TN-In-CN-JT-2014-2094,China,AIESEC SJTU,10-02-2014-03:39:27 PM,Global Internship,CooTek,Company,Information Technology (Computer) Software,,02-09-2014,02-09-2015,-,Information Technology, Network Management & Data Transmission,"Marketing,Cultural Education"," Introductory Marketing, Consumer + Buyer Behaviour", English(None),Internet User Skills,"Information Technology,Marketing,Cultural Education",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228338,1147
TN-In-CN-JT-2014-2102,China,AIESEC SJTU,18-02-2014-01:30:00 PM,Global Internship,CooTek,Company,Information Technology (Computer) Software,,03-10-2014,03-10-2015,-,Information Technology," Network Management & Data Transmission, Software Development and Programming, Systems Analysis and Design",-,-, English(None),Internet User Skills,Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229796,1148
TN-In-CN-SC-2013-15,China,AIESEC SCUT,19-05-2013-05:56:39 PM,Global Internship,MT-Ao Yuan Health City(SCUT),Company,"Hospitality, Tourism & Leisure",,04-21-2013,04-21-2014,"Climate change,Sanitation and hygiene,Social Business",Business Administration, Hotel + Restaurant Management,"Marketing,Communication & Journalism",-, English(Excellent),"Community Development,Training/ Facilitating skills,Marketing / Selling skills,Language Teaching","Business Administration,Marketing,Communication & Journalism","Environment,Health & Lifestyle,Business and Development","Climate change,Sanitation and hygiene,Social Business",http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100186400,1183
TN-In-CN-CH-2013-225,China,AIESEC CHANGSHA,16-04-2013-06:05:02 PM,Global Internship,MT| Chenzhou Wyndham Hotel,Company,"Hospitality, Tourism & Leisure",,05-31-2013,05-31-2014,Protect and showcase local traditions,Marketing,-,Business Administration, Hotel + Restaurant Management," Chinese(None), English(None)",PC User Skills,"Business Administration,Marketing",Cultural Understanding,Protect and showcase local traditions,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100175633,1195
TN-In-CN-GD-2013-602,China,AIESEC GDUFS ,26-07-2013-01:57:21 AM,Global Internship,MT|The Garden Hotel,Company,"Hospitality, Tourism & Leisure",,03-13-2014,03-13-2015,"Entrepreneurship,Protect and showcase local traditions",Business Administration, Hotel + Restaurant Management,Cultural Education,-, English(Excellent),"Driver's licence,PC User Skills,Internet User Skills","Business Administration,Cultural Education","Business and Development,Cultural Understanding","Entrepreneurship,Protect and showcase local traditions",http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100197370,1200
TN-In-CN-NK-2014-1125,China,AIESEC NKU,16-04-2014-01:05:58 PM,Global Internship,"MT?Nanson Education Consultant Service Corp., Ltd.",Company,"Consulting, Audit and Professional Services",,04-30-2014,04-29-2015,-,Marketing, Advertising + Public Relations,-,-," Chinese, Mandarin(Basic), English(Native)","PC User Skills,Internet User Skills",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100246649,1285
TN-In-CN-HU-2013-1070,China,AIESEC HUST,17-11-2013-02:28:20 AM,Global Internship,MT|Royal Towers Hotel @WHU,Company,Consumer Services (Others),,11-29-2013,06-29-2014,-,Marketing,-,"Human Resources,Social Sciences",-," Chinese, Mandarin(Basic), English(Excellent)","PC User Skills,Internet User Skills","Marketing,Human Resources,Social Sciences",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100216145,1286
TN-In-CN-NN-2014-655,China,AIESEC UNNC,03-04-2014-04:04:41 AM,Global Internship,Ningbo dreamer Study abroad consulting company,Company,"Consulting, Audit and Professional Services",,05-16-2014,10-30-2014,-,Human Resources,-,"Teaching & Language Education,Marketing"," Advanced Teaching, Advertising + Public Relations", English(Native),"Training/ Facilitating skills,Presentation skills,PC User Skills,Internet User Skills,Photoshop","Teaching & Language Education,Marketing,Human Resources",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100242248,1287
TN-In-CN-JT-2013-2000,China,AIESEC SJTU,20-05-2013-06:21:25 AM,Global Internship,Element Fresh,Company,Food & Beverages,,05-19-2013,11-19-2014,-,Business Administration," Organisation Management + Planning, Hotel + Restaurant Management","Accounting,Marketing"," Consumer + Buyer Behaviour, Customer Relationship Management", English(Excellent),"Community Development,Project Management,Training/ Facilitating skills,Leadership skills,Marketing / Selling skills,PC User Skills,Internet User Skills","Accounting,Business Administration,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100186453,1288
TN-In-CN-JT-2013-2001,China,AIESEC SJTU,20-05-2013-09:36:46 AM,Global Internship,Element Fresh,Company,Food & Beverages,,05-19-2013,11-19-2014,-,Business Administration," Organisation Management + Planning, Hotel + Restaurant Management","Accounting,Marketing"," Consumer + Buyer Behaviour, Customer Relationship Management", English(Excellent),"Community Development,Project Management,Training/ Facilitating skills,Leadership skills,Marketing / Selling skills,PC User Skills,Internet User Skills","Accounting,Business Administration,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100186483,1289
TN-In-CN-JT-2013-2002,China,AIESEC SJTU,20-05-2013-09:36:46 AM,Global Internship,Element Fresh,Company,Food & Beverages,,05-19-2013,11-19-2014,-,Business Administration," Organisation Management + Planning, Hotel + Restaurant Management","Accounting,Marketing"," Consumer + Buyer Behaviour, Customer Relationship Management", English(Excellent),"Community Development,Project Management,Training/ Facilitating skills,Leadership skills,Marketing / Selling skills,PC User Skills,Internet User Skills","Accounting,Business Administration,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100186484,1290
TN-In-CN-PK-2013-2064,China,AIESEC PKU,13-05-2013-12:54:06 PM,Global Internship,"ET|Beijing Enke Education Technology co.,LTD",Company,Education (6-17 Years),,02-09-2014,06-29-2014,Other subjects literacy,Teaching & Language Education,-,-,-, English(Native),"PC User Skills,Internet User Skills",Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100184092,1291
TN-In-CN-PK-2013-2066,China,AIESEC PKU,13-05-2013-12:54:06 PM,Global Internship,"ET|Beijing Enke Education Technology co.,LTD",Company,Education (6-17 Years),,08-31-2013,12-19-2013,Other subjects literacy,-,-,-,-, English(Native),"PC User Skills,Internet User Skills",Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100184094,1292
TN-In-CN-PK-2013-2067,China,AIESEC PKU,13-05-2013-12:54:06 PM,Global Internship,"ET|Beijing Enke Education Technology co.,LTD",Company,Education (6-17 Years),,08-31-2013,12-19-2013,Other subjects literacy,-,-,-,-, English(Native),"PC User Skills,Internet User Skills",Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100184095,1293
TN-In-CN-PK-2013-2070,China,AIESEC PKU,13-05-2013-12:54:06 PM,Global Internship,"ET|Beijing Enke Education Technology co.,LTD",Company,Education (6-17 Years),,08-31-2013,12-19-2013,Other subjects literacy,-,-,-,-, English(Native),"PC User Skills,Internet User Skills",Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100184098,1294
TN-In-CN-PK-2013-2071,China,AIESEC PKU,13-05-2013-12:54:06 PM,Global Internship,"ET|Beijing Enke Education Technology co.,LTD",Company,Education (6-17 Years),,08-31-2013,12-19-2013,Other subjects literacy,-,-,-,-, English(Native),"PC User Skills,Internet User Skills",Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100184099,1295
TN-In-CN-PK-2013-2072,China,AIESEC PKU,13-05-2013-12:54:06 PM,Global Internship,"ET|Beijing Enke Education Technology co.,LTD",Company,Education (6-17 Years),,08-31-2013,12-19-2013,Other subjects literacy,-,-,-,-, English(Native),"PC User Skills,Internet User Skills",Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100184100,1296
TN-In-CN-PK-2014-2105,China,AIESEC PKU,25-04-2014-05:02:01 AM,Global Internship,"ET|Beijing Enke Education Technology co.,LTD",Company,Education (6-17 Years),,06-24-2014,08-11-2014,Other subjects literacy,Teaching & Language Education,-,-,-, English(Native),"PC User Skills,Internet User Skills",Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100249271,1297
TN-In-CN-PK-2014-2107,China,AIESEC PKU,25-04-2014-05:18:51 AM,Global Internship,"ET|Beijing Enke Education Technology co.,LTD",Company,Education (6-17 Years),,06-24-2014,08-11-2014,Other subjects literacy,Teaching & Language Education,-,-,-, English(Native),"PC User Skills,Internet User Skills",Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100249275,1298
TN-In-CN-NK-2013-1025,China,AIESEC NKU,16-10-2013-03:11:55 PM,Global Internship,MT?Tianjin Wanda Vista hotels,Company,"Hospitality, Tourism & Leisure",,10-29-2013,05-20-2015,-,Business Administration," International Management, Introduction to Management / Business Administration, Hotel + Restaurant Management",Marketing," Customer Relationship Management, Consumer + Buyer Behaviour, International Marketing"," Chinese(Good), English(Excellent)","Windows Operating Systems,PC User Skills,Internet User Skills","Business Administration,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100208116,1304
TN-In-CN-BF-2013-35,China,AIESEC BFSU,12-06-2013-10:19:33 AM,Global Internship,FENGXING Education (2013Autumn),Company,Education (Others),,08-24-2013,08-24-2014,"Other subjects literacy,Cross-cultural dialogues",-,-,-,-, English(Native),"PC User Skills,Internet User Skills",Teaching & Language Education,"Literacy,Cultural Understanding","Other subjects literacy,Cross-cultural dialogues",http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100191896,1316
TN-In-CN-XL-2013-19,China,AIESEC XJTLU,20-05-2013-12:56:41 PM,Global Internship,MT|DanYang ShuiZhonXian Hotel,Company,Consumer Services (Others),,05-19-2013,05-10-2015,Protect and showcase local traditions,-,-,-,-," Chinese(Basic), English(Excellent)","Team Management,Presentation skills,PC User Skills,Internet User Skills,Client Servicing Skills","Business Administration,Marketing,Communication & Journalism",Cultural Understanding,Protect and showcase local traditions,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100186523,1324
TN-In-CN-SI-2014-1009,China,AIESEC SISU,01-03-2014-04:48:46 PM,Global Internship,MT|Elementfresh,Company,Other,,03-31-2014,03-31-2015,-,Other Technical Subjects,-,-,-, English(Excellent),Training/ Facilitating skills,Other Technical Subjects,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100232009,1325
TN-In-CN-SI-2014-1010,China,AIESEC SISU,01-03-2014-05:03:47 PM,Global Internship,MT|Elementfresh,Company,Other,,03-31-2014,03-31-2015,-,Other Technical Subjects,-,-,-," Chinese, Mandarin(Good), English(Excellent)",Training/ Facilitating skills,Other Technical Subjects,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100232013,1326
TN-In-CN-SC-2013-22,China,AIESEC SCUT,23-05-2013-06:52:51 PM,Global Internship,MT-Richwood Garden Hotel(SCUT),Company,"Hospitality, Tourism & Leisure",,05-30-2013,09-18-2014,"Other subjects literacy,Energy,Sanitation and hygiene",Communication & Journalism,-,"Business Administration,Marketing",-," Chinese(Basic), English(Excellent)","First Aid,Community Development,Training/ Facilitating skills,Internet User Skills,Microsoft SQL Server,Other Development Tools,PeopleSoft,Adobe,Lotus Notes/Domino,Visual Basic,Salesforce,Process Engineering,Construction Management,Waste & Water Management,Android,Worldpress,Network security","Business Administration,Marketing,Communication & Journalism","Literacy,Environment,Health & Lifestyle","Other subjects literacy,Energy,Sanitation and hygiene",http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100187455,1343
TN-In-CN-SZ-2013-132,China,AIESEC SZU,25-11-2013-06:31:08 AM,Global Internship,MT|Shenzhen Kapok Hotel,Company,Business Services,,11-30-2013,07-31-2014,-,Business Administration," Corporate Community Engagement, Event Management",Communication & Journalism, Public Relations, English(Native),Internet User Skills,"Business Administration,Communication & Journalism",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100218122,1349
TN-In-CN-CH-2013-327,China,AIESEC CHANGSHA,28-05-2013-04:30:38 AM,Global Internship,ET|Dragon Charm Communication Ltd,Company,Education  (0-6 Years),,06-14-2013,12-14-2013,Other subjects literacy,Teaching & Language Education," Child (Youth) Education, Foreign Languages Education",-,-, English(Excellent),Internet User Skills,Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100188188,1350
TN-In-CN-CH-2013-328,China,AIESEC CHANGSHA,28-05-2013-04:40:43 AM,Global Internship,ET|Dragon Charm Communication Ltd,Company,Education  (0-6 Years),,06-14-2013,12-14-2013,Other subjects literacy,Teaching & Language Education," Child (Youth) Education, Foreign Languages Education",-,-, English(Excellent),Internet User Skills,Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100188189,1351
TN-In-CN-CH-2013-329,China,AIESEC CHANGSHA,28-05-2013-04:40:43 AM,Global Internship,ET|Dragon Charm Communication Ltd,Company,Education  (0-6 Years),,06-14-2013,12-14-2013,Other subjects literacy,Teaching & Language Education," Child (Youth) Education, Foreign Languages Education",-,-, English(Excellent),Internet User Skills,Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100188190,1352
TN-In-CN-CH-2013-330,China,AIESEC CHANGSHA,28-05-2013-04:40:43 AM,Global Internship,ET|Dragon Charm Communication Ltd,Company,Education  (0-6 Years),,06-14-2013,12-14-2013,Other subjects literacy,Teaching & Language Education," Child (Youth) Education, Foreign Languages Education",-,-, English(Excellent),Internet User Skills,Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100188191,1353
TN-In-CN-CH-2013-331,China,AIESEC CHANGSHA,28-05-2013-04:40:43 AM,Global Internship,ET|Dragon Charm Communication Ltd,Company,Education  (0-6 Years),,06-14-2013,12-14-2013,Other subjects literacy,Teaching & Language Education," Child (Youth) Education, Foreign Languages Education",-,-, English(Excellent),Internet User Skills,Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100188192,1354
TN-In-CN-CH-2013-332,China,AIESEC CHANGSHA,28-05-2013-04:40:43 AM,Global Internship,ET|Dragon Charm Communication Ltd,Company,Education  (0-6 Years),,06-14-2013,12-14-2013,Other subjects literacy,Teaching & Language Education," Child (Youth) Education, Foreign Languages Education",-,-, English(Excellent),Internet User Skills,Teaching & Language Education,Literacy,Other subjects literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100188193,1355
